sector,role,tag,label,form,share_of_basis,cost_inr_per_t,basis,source,confidence
Ceramics,emit,ceramic_sludge,ETP ceramic sludge,solid,0.55,1400,total_waste_tpy,"Ceramic ETP sludge is the dominant tagged solid waste stream for tile/sanitaryware units (glaze/frit residue, clay fines) — documented cleaner-production audit norms, not a single cited table",medium
Ceramics,emit,kiln_waste_heat,Kiln cooling-zone hot air,heat,0.0,0,total_waste_tpy,"Zero-tonnage sentinel entry — heat is not a tonnage waste stream but is a real candidate for heat-recovery symbiosis (see interventions.json kiln-whr); kept for matcher completeness",medium
Ceramics,accept,fly_ash,Fly ash (body filler),solid,0.15,2200,output_tonnes_per_year,"Fly ash substitutes a share of virgin clay/filler in tile bodies — standard cleaner-production practice; max accepted tonnage sized as a fraction of the factory's own annual output",medium
Chemicals,emit,spent_solvent,Spent solvent (mixed),liquid,0.35,9000,total_waste_tpy,"Spent solvent is the characteristic hazardous liquid waste for dyes/specialty-chemical units — documented cleaner-production audit norms",medium
Chemicals,emit,fly_ash,Fly ash (boiler by-product),solid,0.20,0,total_waste_tpy,"Coal-fired boilers (see PROCESS_FUEL_MIX in generate_synthetic.py) produce fly ash as a real by-product; modelled as a candidate symbiosis output to Ceramics, not a hazardous-waste-inventory line item",medium
Chemicals,emit,process_waste_heat,Low-pressure exhaust steam,heat,0.0,0,total_waste_tpy,"Zero-tonnage sentinel entry for heat-recovery/steam-reuse symbiosis candidates",medium
Chemicals,accept,spent_solvent,Solvent for recovery still,liquid,0.10,62000,output_tonnes_per_year,"A specialty-chemical unit with a recovery still can accept another unit's spent solvent of a compatible type — documented cleaner-production audit norms",medium
Textiles,emit,textile_sludge,ETP textile sludge,solid,0.45,2100,total_waste_tpy,"ETP sludge (dye/fibre residue) is the characteristic solid waste for dyeing/processing houses — documented cleaner-production audit norms",medium
Textiles,emit,cotton_waste,Fibre / cutting waste,solid,0.15,800,total_waste_tpy,"Cutting-room and processing fibre waste — documented cleaner-production audit norms",medium
Textiles,accept,cotton_waste,Recycled fibre feed,solid,0.08,5800,output_tonnes_per_year,"Processing houses can blend in recycled fibre feed from another unit's cutting waste — documented cleaner-production audit norms",medium
Engineering,emit,foundry_slag,Furnace slag,solid,0.40,1100,total_waste_tpy,"Furnace slag is the characteristic solid waste for foundry/induction-melt units — documented cleaner-production audit norms",medium
Engineering,emit,foundry_sand,Spent moulding sand,solid,0.35,900,total_waste_tpy,"Spent moulding sand from casting operations — documented cleaner-production audit norms",medium
